User/index###5b1754d09398f###2018-07-22 14:18:24###{"code":"021niAcJ0k4Wth2VYT9J0MRkcJ0niAc4"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"userid":"37","position":"2","person":"1","company":"1"}}###{"code":"021niAcJ0k4Wth2VYT9J0MRkcJ0niAc4"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-22 14:18:37###{"city":"130100","position":"2"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054404.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060844.jpg","linkurl":""}],"recommend":[{"rid":"72","title":"\u6d4b\u8bd5","wage":"2222","end_date":"\u957f\u671f\u6709\u6548","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"69","title":"\u517c\u804c","wage":"100","end_date":"2018-07-22","payment_type":"1","area":"\u6865\u897f\u533a","type":"\u65e5\u7ed3"},{"rid":"68","title":"\u8d85\u5e02\u4e34\u4fc3","wage":"120","end_date":"\u957f\u671f\u6709\u9650","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"67","title":"\u52aa\u529b\u80fd\u521b\u9020\u5947\u8ff9","wage":"100","end_date":"\u957f\u671f\u6709\u9650","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"}],"hot":[{"rid":"34","title":"\u627e\u5de5\u4f5c","wage":"200"},{"rid":"35","title":"\u6c29\u5f27\u710a","wage":"200"}]}}###{"city":"130100","position":"2"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-07-22 14:18:37###{"position":"2","userid":"37"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"realname":"\u4ed8\u79d1\u6280"}}###{"position":"2","userid":"37"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-22 14:18:37###{"city":"130100","position":"2"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054404.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060844.jpg","linkurl":""}],"recommend":[{"rid":"72","title":"\u6d4b\u8bd5","wage":"2222","end_date":"\u957f\u671f\u6709\u6548","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"69","title":"\u517c\u804c","wage":"100","end_date":"2018-07-22","payment_type":"1","area":"\u6865\u897f\u533a","type":"\u65e5\u7ed3"},{"rid":"68","title":"\u8d85\u5e02\u4e34\u4fc3","wage":"120","end_date":"\u957f\u671f\u6709\u9650","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"67","title":"\u52aa\u529b\u80fd\u521b\u9020\u5947\u8ff9","wage":"100","end_date":"\u957f\u671f\u6709\u9650","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"}],"hot":[{"rid":"34","title":"\u627e\u5de5\u4f5c","wage":"200"},{"rid":"35","title":"\u6c29\u5f27\u710a","wage":"200"}]}}###{"city":"130100","position":"2"}###null###null###null###null
Index/location###5b21fee04cd72###2018-07-22 14:18:38###{"lng":"114.51303","lat":"38.019573"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u4e1c\u5c97\u6021\u56ed"}}###{"lng":"114.51303","lat":"38.019573"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-22 14:18:39###{"city":"130100","position":"2"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054404.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060844.jpg","linkurl":""}],"recommend":[{"rid":"72","title":"\u6d4b\u8bd5","wage":"2222","end_date":"\u957f\u671f\u6709\u6548","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"69","title":"\u517c\u804c","wage":"100","end_date":"2018-07-22","payment_type":"1","area":"\u6865\u897f\u533a","type":"\u65e5\u7ed3"},{"rid":"68","title":"\u8d85\u5e02\u4e34\u4fc3","wage":"120","end_date":"\u957f\u671f\u6709\u9650","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"67","title":"\u52aa\u529b\u80fd\u521b\u9020\u5947\u8ff9","wage":"100","end_date":"\u957f\u671f\u6709\u9650","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"}],"hot":[{"rid":"34","title":"\u627e\u5de5\u4f5c","wage":"200"},{"rid":"35","title":"\u6c29\u5f27\u710a","wage":"200"}]}}###{"city":"130100","position":"2"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-07-22 14:18:39###{"position":"2","userid":"37"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"realname":"\u4ed8\u79d1\u6280"}}###{"position":"2","userid":"37"}###null###null###null###null
Index/location###5b21fee04cd72###2018-07-22 14:18:41###{"lng":"114.51303","lat":"38.019573"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u4e1c\u5c97\u6021\u56ed"}}###{"lng":"114.51303","lat":"38.019573"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-22 14:18:41###{"city":"130100","position":"2"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054404.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060844.jpg","linkurl":""}],"recommend":[{"rid":"72","title":"\u6d4b\u8bd5","wage":"2222","end_date":"\u957f\u671f\u6709\u6548","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"69","title":"\u517c\u804c","wage":"100","end_date":"2018-07-22","payment_type":"1","area":"\u6865\u897f\u533a","type":"\u65e5\u7ed3"},{"rid":"68","title":"\u8d85\u5e02\u4e34\u4fc3","wage":"120","end_date":"\u957f\u671f\u6709\u9650","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"67","title":"\u52aa\u529b\u80fd\u521b\u9020\u5947\u8ff9","wage":"100","end_date":"\u957f\u671f\u6709\u9650","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"}],"hot":[{"rid":"34","title":"\u627e\u5de5\u4f5c","wage":"200"},{"rid":"35","title":"\u6c29\u5f27\u710a","wage":"200"}]}}###{"city":"130100","position":"2"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-07-22 14:18:41###{"position":"2","userid":"37"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"realname":"\u4ed8\u79d1\u6280"}}###{"position":"2","userid":"37"}###null###null###null###null
Index/location###5b21fee04cd72###2018-07-22 14:18:44###{"lng":"114.51303","lat":"38.019573"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u4e1c\u5c97\u6021\u56ed"}}###{"lng":"114.51303","lat":"38.019573"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-22 14:18:44###{"city":"130100","position":"2"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054404.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060844.jpg","linkurl":""}],"recommend":[{"rid":"72","title":"\u6d4b\u8bd5","wage":"2222","end_date":"\u957f\u671f\u6709\u6548","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"69","title":"\u517c\u804c","wage":"100","end_date":"2018-07-22","payment_type":"1","area":"\u6865\u897f\u533a","type":"\u65e5\u7ed3"},{"rid":"68","title":"\u8d85\u5e02\u4e34\u4fc3","wage":"120","end_date":"\u957f\u671f\u6709\u9650","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"67","title":"\u52aa\u529b\u80fd\u521b\u9020\u5947\u8ff9","wage":"100","end_date":"\u957f\u671f\u6709\u9650","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"}],"hot":[{"rid":"34","title":"\u627e\u5de5\u4f5c","wage":"200"},{"rid":"35","title":"\u6c29\u5f27\u710a","wage":"200"}]}}###{"city":"130100","position":"2"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-07-22 14:18:45###{"position":"2","userid":"37"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"realname":"\u4ed8\u79d1\u6280"}}###{"position":"2","userid":"37"}###null###null###null###null
Index/location###5b21fee04cd72###2018-07-22 14:18:46###{"lng":"114.51303","lat":"38.019573"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u4e1c\u5c97\u6021\u56ed"}}###{"lng":"114.51303","lat":"38.019573"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-22 14:18:46###{"city":"130100","position":"2"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054404.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060844.jpg","linkurl":""}],"recommend":[{"rid":"72","title":"\u6d4b\u8bd5","wage":"2222","end_date":"\u957f\u671f\u6709\u6548","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"69","title":"\u517c\u804c","wage":"100","end_date":"2018-07-22","payment_type":"1","area":"\u6865\u897f\u533a","type":"\u65e5\u7ed3"},{"rid":"68","title":"\u8d85\u5e02\u4e34\u4fc3","wage":"120","end_date":"\u957f\u671f\u6709\u9650","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"67","title":"\u52aa\u529b\u80fd\u521b\u9020\u5947\u8ff9","wage":"100","end_date":"\u957f\u671f\u6709\u9650","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"}],"hot":[{"rid":"34","title":"\u627e\u5de5\u4f5c","wage":"200"},{"rid":"35","title":"\u6c29\u5f27\u710a","wage":"200"}]}}###{"city":"130100","position":"2"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-07-22 14:18:53###{"position":"2","userid":"37"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"realname":"\u4ed8\u79d1\u6280"}}###{"position":"2","userid":"37"}###null###null###null###null
Index/location###5b21fee04cd72###2018-07-22 14:18:57###{"lng":"114.51303","lat":"38.019573"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u4e1c\u5c97\u6021\u56ed"}}###{"lng":"114.51303","lat":"38.019573"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-22 14:18:57###{"city":"130100","position":"2"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054404.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060844.jpg","linkurl":""}],"recommend":[{"rid":"72","title":"\u6d4b\u8bd5","wage":"2222","end_date":"\u957f\u671f\u6709\u6548","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"69","title":"\u517c\u804c","wage":"100","end_date":"2018-07-22","payment_type":"1","area":"\u6865\u897f\u533a","type":"\u65e5\u7ed3"},{"rid":"68","title":"\u8d85\u5e02\u4e34\u4fc3","wage":"120","end_date":"\u957f\u671f\u6709\u9650","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"67","title":"\u52aa\u529b\u80fd\u521b\u9020\u5947\u8ff9","wage":"100","end_date":"\u957f\u671f\u6709\u9650","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"}],"hot":[{"rid":"34","title":"\u627e\u5de5\u4f5c","wage":"200"},{"rid":"35","title":"\u6c29\u5f27\u710a","wage":"200"}]}}###{"city":"130100","position":"2"}###null###null###null###null
